"Indicator Code","Indicator Name","Aggregation Method","Dataset","General Comments","License Type","License URL","Long Definition","Periodicity","Reference Period","Short Definition","Source","Topic","Unit of Measure","Related Indicators","Development Relevance","Limitations and Exceptions","Notes from Original Source","Statistical Concept and Methodology","Other Web Links","Base Period","Other Notes","Previous Indicator Name","Related Source Links"
"IC.WEF.SOLO.MA","Number of male sole proprietors","","","Cross-country comparability is not applicable to sole proprietorships due to differences in definition of sole proprietors across countries.","","","Number of male sole proprietors is the number of newly registered sole proprietors owned by female individuals in the calendar year.  A sole proprietorship is a business entity owned and managed by a single individual who is indistinguishable from the business and personally liable.","","","","World Bank's Entrepreneurship Survey and database (https://www.worldbank.org/en/programs/entrepreneurship). Downloaded on November 29, 2023.","Entrepreneurship","","","Measuring women’s entrepreneurial activity is critically important for a better understanding of how female entrepreneurs contribute to the economy and society. The lack of comprehensive sex-disaggregated data on business entry and ownership presents a significant obstacle to the global and diversified analysis of female entrepreneurship. Due to insufficient standardized and country-comparable data, the diagnostics of gender gaps in entrepreneurship are limited.
In here, to measure female entrepreneurial activity, annual data is collected directly from 73 company registrars on the number of female/male business owners of LLCs, female/ male sole proprietors and female/ male directors of LLCs, over the past four years.

The importance of female entrepreneurship for economic development is widely recognized. Numerous studies demonstrate the positive impact of female entrepreneurs on economic growth and development, as well as sustainable and durable peace. Moreover, economies characterized by high levels of female entrepreneurial activity are more resilient to financial crises and experience economic slowdowns less frequently. Despite different methodologies, these studies find significant socioeconomic benefits of female entrepreneurship.","The definition of entrepreneurship used is limited to the formal sector. Yet, it should be noted that the exclusion of the informal sector is based on the difficulties of quantifying the number of firms that compose it, rather than on its relevance for developing economies. The Entrepreneurship Database facilitates the analysis of the growth of the formal private sector and the identification of factors that encourage firms to begin operations in or transition to the formal sector. Data is collected on sole proprietorship. Data on the number of total or closed sole proprietorships are not included.
                                                                                                                                                                                                                                                                                                                                                                                                 The data itself only provides a snapshot of a given economy's business demographics, and cannot by itself explain the factors that affect the business creation cycle. However, when the Entrepreneurship Database is combined with other data such as the Doing Business Report, Investment Climate Assessments, and/or OECD Entrepreneurship Indicators, researchers and policymakers can better understand the dynamics of the business creation process.","","Data are collected by the World Bank Group’s Entrepreneurship Database.  To facilitate cross-country comparability, the Entrepreneurship Database employs a consistent unit of measurement, source of information, and concept of entrepreneurship that is applicable and available among the diverse sample of participating economies.

The data collection process involves telephone interviews and email correspondence with business registries in 73 economies. The main sources of information for this study are national business registries. In a limited number of cases where the business registry was unable to provide the data - most often due to an absence of digitized registration systems - the Entrepreneurship Database uses other alternatives sources, such as statistical agencies, tax and labor agencies, chambers of commerce, and private vendors or publicly available data.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       While sole proprietorships data is collected and presented, due to differences in the definition of sole proprietors across countries, cross-country comparability is applicable only to limited liability corporations that operate in the formal sector.","","","","",""
"IC.WEF.SOLO.MA.ZS","Share of male sole proprietors  (% of sole proprietors)","","","Cross-country comparability is not applicable to sole proprietorships due to differences in definition of sole proprietors across countries.","","","Share of male sole proprietors is the proportion of male newly registered sole proprietors out of the total number of newly registered sole proprietors in the economy in the calendar year. A sole proprietorship is a business entity owned and managed by a single individual who is indistinguishable from the business and personally liable.","","","","World Bank's Entrepreneurship Survey and database (https://www.worldbank.org/en/programs/entrepreneurship). Downloaded on November 29, 2023.","Entrepreneurship","","","Measuring women’s entrepreneurial activity is critically important for a better understanding of how female entrepreneurs contribute to the economy and society. The lack of comprehensive sex-disaggregated data on business entry and ownership presents a significant obstacle to the global and diversified analysis of female entrepreneurship. Due to insufficient standardized and country-comparable data, the diagnostics of gender gaps in entrepreneurship are limited.
In here, to measure female entrepreneurial activity, annual data is collected directly from 73 company registrars on the number of female/male business owners of LLCs, female/ male sole proprietors and female/ male directors of LLCs, over the past four years.

The importance of female entrepreneurship for economic development is widely recognized. Numerous studies demonstrate the positive impact of female entrepreneurs on economic growth and development, as well as sustainable and durable peace. Moreover, economies characterized by high levels of female entrepreneurial activity are more resilient to financial crises and experience economic slowdowns less frequently. Despite different methodologies, these studies find significant socioeconomic benefits of female entrepreneurship.","The definition of entrepreneurship used is limited to the formal sector. Yet, it should be noted that the exclusion of the informal sector is based on the difficulties of quantifying the number of firms that compose it, rather than on its relevance for developing economies. The Entrepreneurship Database facilitates the analysis of the growth of the formal private sector and the identification of factors that encourage firms to begin operations in or transition to the formal sector. Data is collected on sole proprietorship. Data on the number of total or closed sole proprietorships are not included.
                                                                                                                                                                                                                                                                                                                                                                                                    The data itself only provides a snapshot of a given economy's business demographics, and cannot by itself explain the factors that affect the business creation cycle. However, when the Entrepreneurship Database is combined with other data such as the Doing Business Report, Investment Climate Assessments, and/or OECD Entrepreneurship Indicators, researchers and policymakers can better understand the dynamics of the business creation process.","","Data are collected by the World Bank Group’s Entrepreneurship Database.  To facilitate cross-country comparability, the Entrepreneurship Database employs a consistent unit of measurement, source of information, and concept of entrepreneurship that is applicable and available among the diverse sample of participating economies.

The data collection process involves telephone interviews and email correspondence with business registries in 73 economies. The main sources of information for this study are national business registries. In a limited number of cases where the business registry was unable to provide the data - most often due to an absence of digitized registration systems - the Entrepreneurship Database uses other alternatives sources, such as statistical agencies, tax and labor agencies, chambers of commerce, and private vendors or publicly available data.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           While sole proprietorships data is collected and presented, due to differences in the definition of sole proprietors across countries, cross-country comparability is applicable only to limited liability corporations that operate in the formal sector.","","","","",""
"SG.BUS.REGT.EQ","A woman can register a business in the same way as a man (1=yes; 0=no)","","","1. For the reference period, WDI and Gender Databases take the data coverage years instead of reporting years used in WBL (https://wbl.worldbank.org/).  For example, the data for YR2020 in WBL (report year) corresponds to data for YR2019 in WDI and Gender Databases.
2. The 2024 Women, Business and the Law (WBL) report has introduced two distinct datasets, labeled as 1.0 and 2.0. The WBL data in the Gender database is based on the dataset 1.0.  This dataset maintains consistency with the indicators used in previous WBL reports from 2020 to 2023. In contrast, the WBL 2.0 dataset includes new areas of childcare and safety. For those interested in exploring the WBL 2.0 dataset, it is available on the WBL website at https://wbl.worldbank.org.","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","The indicator measures whether there are restrictions on a woman registering a business (i.e. if a woman needs her husband’s or guardian’s permission, signature or consent to register a business; or the registration process at any stage requires a woman to provide additional information or documentation that is not required of a man).","Annual","","","World Bank: Women, Business and the Law. https://wbl.worldbank.org/","Entrepreneurship","","","The knowledge and analysis provided by Women, Business and the Law make a strong economic case for laws that empower women. Better performance in the areas measured by the Women, Business and the Law index is associated with more women in the labor force and with higher income and improved development outcomes. Equality before the law and of economic opportunity are not only wise social policy but also good economic policy. The equal participation of women and men will give every economy a chance to achieve its potential. Given the economic significance of women's empowerment, the ultimate goal of Women, Business and the Law is to encourage governments to reform laws that hold women back from working and doing business.","The Women, Business and the Law methodology has limitations that should be considered when interpreting the data. All eight indicators are based on standardized assumptions to ensure comparability across economies. Comparability is one of the strengths of the data, but the assumptions can also be limitations as they may not capture all restrictions or represent all particularities in a country. It is assumed that the woman resides in the economy's main business city. In federal economies, laws affecting women can vary by state or province. Even in nonfederal economies, women in rural areas and small towns could face more restrictive local legislation. Such restrictions are not captured by Women, Business and the Law unless they are also found in the main business city. The woman has reached the legal age of majority and is capable of making decisions as an adult, is in good health and has no criminal record. She is a lawful citizen of the economy being examined, and she works as a cashier in the food retail sector in a supermarket or grocery store that has 60 employees. She is a cisgender, heterosexual woman in a monogamous first marriage registered with the appropriate authorities (de facto marriages and customary unions are not measured), she is of the same religion as her husband, and is in a marriage under the rules of the default marital property regime, or the most common regime for that jurisdiction, which will not change during the course of the marriage. She is not a member of a union, unless membership is mandatory. Membership is considered mandatory when collective bargaining agreements cover more than 50 percent of the workforce in the food retail sector and when they apply to individuals who were not party to the original collective bargaining agreement. Where personal law prescribes different rights and obligations for different groups of women, the data focus on the most populous group, which may mean that restrictions that apply only to minority populations are missed. Women, Business and the Law focuses solely on the ways in which the formal legal and regulatory environment determines whether women can work or open their own businesses. The data set is constructed using laws and regulations that are codified (de jure) and currently in force, therefore implementation of laws (de facto) is not measured. The data looks only at laws that apply to the private sector. These assumptions can limit the representativeness of the data for the entire population in each country. Finally, Women, Business and the Law recognizes that the laws it measures do not apply to all women in the same way. Women face intersectional forms of discrimination based on gender, sex, sexuality, race, gender identity, religion, family status, ethnicity, nationality, disability, and a myriad of other grounds. Women, Business and the Law therefore encourages readers to interpret the data in conjunction with other available research.","This is one of the 35 scored indicators.","Women, Business and the Law tracks progress toward legal equality between men and women in 190 economies. Data are collected with standardized questionnaires to ensure comparability across economies. Questionnaires are administered to over 2,000 respondents with expertise in family, labor, and violence against women legislation, including lawyers, judges, academics, and members of civil society organizations working on gender issues. Respondents provide responses to the questionnaires and references to relevant laws and regulations. The Women, Business and the Law team collects the texts of these codified sources of national law - constitutions, codes, laws, statutes, rules, regulations, and procedures - and checks questionnaire responses for accuracy. Thirty-five data points are scored across eight indicators of four or five binary questions, with each indicator representing a different phase of a woman’s career. Indicator-level scores are obtained by calculating the unweighted average of the questions within that indicator and scaling the result to 100. Overall scores are then calculated by taking the average of each indicator, with 100 representing the highest possible score.","","","","",""
"SG.CNT.SIGN.EQ","A woman can sign a contract in the same way as a man (1=yes; 0=no)","","","1. For the reference period, WDI and Gender Databases take the data coverage years instead of reporting years used in WBL (https://wbl.worldbank.org/).  For example, the data for YR2020 in WBL (report year) corresponds to data for YR2019 in WDI and Gender Databases.
2. The 2024 Women, Business and the Law (WBL) report has introduced two distinct datasets, labeled as 1.0 and 2.0. The WBL data in the Gender database is based on the dataset 1.0.  This dataset maintains consistency with the indicators used in previous WBL reports from 2020 to 2023. In contrast, the WBL 2.0 dataset includes new areas of childcare and safety. For those interested in exploring the WBL 2.0 dataset, it is available on the WBL website at https://wbl.worldbank.org.","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","The indicator measures whether a woman obtains full legal capacity upon reaching the age of majority and there are no restrictions on her signing legally binding contracts.","Annual","","","World Bank: Women, Business and the Law. https://wbl.worldbank.org/","Entrepreneurship","","","The knowledge and analysis provided by Women, Business and the Law make a strong economic case for laws that empower women. Better performance in the areas measured by the Women, Business and the Law index is associated with more women in the labor force and with higher income and improved development outcomes. Equality before the law and of economic opportunity are not only wise social policy but also good economic policy. The equal participation of women and men will give every economy a chance to achieve its potential. Given the economic significance of women's empowerment, the ultimate goal of Women, Business and the Law is to encourage governments to reform laws that hold women back from working and doing business.","The Women, Business and the Law methodology has limitations that should be considered when interpreting the data. All eight indicators are based on standardized assumptions to ensure comparability across economies. Comparability is one of the strengths of the data, but the assumptions can also be limitations as they may not capture all restrictions or represent all particularities in a country. It is assumed that the woman resides in the economy's main business city. In federal economies, laws affecting women can vary by state or province. Even in nonfederal economies, women in rural areas and small towns could face more restrictive local legislation. Such restrictions are not captured by Women, Business and the Law unless they are also found in the main business city. The woman has reached the legal age of majority and is capable of making decisions as an adult, is in good health and has no criminal record. She is a lawful citizen of the economy being examined, and she works as a cashier in the food retail sector in a supermarket or grocery store that has 60 employees. She is a cisgender, heterosexual woman in a monogamous first marriage registered with the appropriate authorities (de facto marriages and customary unions are not measured), she is of the same religion as her husband, and is in a marriage under the rules of the default marital property regime, or the most common regime for that jurisdiction, which will not change during the course of the marriage. She is not a member of a union, unless membership is mandatory. Membership is considered mandatory when collective bargaining agreements cover more than 50 percent of the workforce in the food retail sector and when they apply to individuals who were not party to the original collective bargaining agreement. Where personal law prescribes different rights and obligations for different groups of women, the data focus on the most populous group, which may mean that restrictions that apply only to minority populations are missed. Women, Business and the Law focuses solely on the ways in which the formal legal and regulatory environment determines whether women can work or open their own businesses. The data set is constructed using laws and regulations that are codified (de jure) and currently in force, therefore implementation of laws (de facto) is not measured. The data looks only at laws that apply to the private sector. These assumptions can limit the representativeness of the data for the entire population in each country. Finally, Women, Business and the Law recognizes that the laws it measures do not apply to all women in the same way. Women face intersectional forms of discrimination based on gender, sex, sexuality, race, gender identity, religion, family status, ethnicity, nationality, disability, and a myriad of other grounds. Women, Business and the Law therefore encourages readers to interpret the data in conjunction with other available research.","This is one of the 35 scored indicators.","Women, Business and the Law tracks progress toward legal equality between men and women in 190 economies. Data are collected with standardized questionnaires to ensure comparability across economies. Questionnaires are administered to over 2,000 respondents with expertise in family, labor, and violence against women legislation, including lawyers, judges, academics, and members of civil society organizations working on gender issues. Respondents provide responses to the questionnaires and references to relevant laws and regulations. The Women, Business and the Law team collects the texts of these codified sources of national law - constitutions, codes, laws, statutes, rules, regulations, and procedures - and checks questionnaire responses for accuracy. Thirty-five data points are scored across eight indicators of four or five binary questions, with each indicator representing a different phase of a woman’s career. Indicator-level scores are obtained by calculating the unweighted average of the questions within that indicator and scaling the result to 100. Overall scores are then calculated by taking the average of each indicator, with 100 representing the highest possible score.","","","","",""
"SG.LAW.INDX.EN","Women, Business and the Law: Entrepreneurship Indicator Score (scale 1-100)","","","1. For the reference period, WDI and Gender Databases take the data coverage years instead of reporting years used in WBL (https://wbl.worldbank.org/).  For example, the data for YR2020 in WBL (report year) corresponds to data for YR2019 in WDI and Gender Databases.
2. The 2024 Women, Business and the Law (WBL) report has introduced two distinct datasets, labeled as 1.0 and 2.0. The WBL data in the Gender database is based on the dataset 1.0.  This dataset maintains consistency with the indicators used in previous WBL reports from 2020 to 2023. In contrast, the WBL 2.0 dataset includes new areas of childcare and safety. For those interested in exploring the WBL 2.0 dataset, it is available on the WBL website at https://wbl.worldbank.org.","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","The Entrepreneurship indicator measures constraints on women starting and running a business.. The Entrepreneurship indicator score is obtained by calculating the unweighted average of the following: 1. SG.CNT.SIGN.EQ; 2. SG.BUS.REGT.EQ; 3. SG.OPN.BANK.EQ; 4. SG.LAW.CRDD.GR (= 25 points each) and scaling the result to 100.","Annual","","","World Bank: Women, Business and the Law. https://wbl.worldbank.org/","Employment and Time Use","","","The knowledge and analysis provided by Women, Business and the Law make a strong economic case for laws that empower women. Better performance in the areas measured by the Women, Business and the Law index is associated with more women in the labor force and with higher income and improved development outcomes. Equality before the law and of economic opportunity are not only wise social policy but also good economic policy. The equal participation of women and men will give every economy a chance to achieve its potential. Given the economic significance of women's empowerment, the ultimate goal of Women, Business and the Law is to encourage governments to reform laws that hold women back from working and doing business.","The Women, Business and the Law methodology has limitations that should be considered when interpreting the data. All eight indicators are based on standardized assumptions to ensure comparability across economies. Comparability is one of the strengths of the data, but the assumptions can also be limitations as they may not capture all restrictions or represent all particularities in a country. It is assumed that the woman resides in the economy's main business city. In federal economies, laws affecting women can vary by state or province. Even in nonfederal economies, women in rural areas and small towns could face more restrictive local legislation. Such restrictions are not captured by Women, Business and the Law unless they are also found in the main business city. The woman has reached the legal age of majority and is capable of making decisions as an adult, is in good health and has no criminal record. She is a lawful citizen of the economy being examined, and she works as a cashier in the food retail sector in a supermarket or grocery store that has 60 employees. She is a cisgender, heterosexual woman in a monogamous first marriage registered with the appropriate authorities (de facto marriages and customary unions are not measured), she is of the same religion as her husband, and is in a marriage under the rules of the default marital property regime, or the most common regime for that jurisdiction, which will not change during the course of the marriage. She is not a member of a union, unless membership is mandatory. Membership is considered mandatory when collective bargaining agreements cover more than 50 percent of the workforce in the food retail sector and when they apply to individuals who were not party to the original collective bargaining agreement. Where personal law prescribes different rights and obligations for different groups of women, the data focus on the most populous group, which may mean that restrictions that apply only to minority populations are missed. Women, Business and the Law focuses solely on the ways in which the formal legal and regulatory environment determines whether women can work or open their own businesses. The data set is constructed using laws and regulations that are codified (de jure) and currently in force, therefore implementation of laws (de facto) is not measured. The data looks only at laws that apply to the private sector. These assumptions can limit the representativeness of the data for the entire population in each country. Finally, Women, Business and the Law recognizes that the laws it measures do not apply to all women in the same way. Women face intersectional forms of discrimination based on gender, sex, sexuality, race, gender identity, religion, family status, ethnicity, nationality, disability, and a myriad of other grounds. Women, Business and the Law therefore encourages readers to interpret the data in conjunction with other available research.","","Women, Business and the Law tracks progress toward legal equality between men and women in 190 economies. Data are collected with standardized questionnaires to ensure comparability across economies. Questionnaires are administered to over 2,000 respondents with expertise in family, labor, and violence against women legislation, including lawyers, judges, academics, and members of civil society organizations working on gender issues. Respondents provide responses to the questionnaires and references to relevant laws and regulations. The Women, Business and the Law team collects the texts of these codified sources of national law - constitutions, codes, laws, statutes, rules, regulations, and procedures - and checks questionnaire responses for accuracy. Thirty-five data points are scored across eight indicators of four or five binary questions, with each indicator representing a different phase of a woman’s career. Indicator-level scores are obtained by calculating the unweighted average of the questions within that indicator and scaling the result to 100. Overall scores are then calculated by taking the average of each indicator, with 100 representing the highest possible score.","","","","",""
"fin10.1a","Reason for not using their inactive account: bank or financial institution is too far away (% age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","The percentage of respondents who report having an inactive account because the bank or financial institution is too far away.","Triennial","2021 variable","The percentage of respondents who report having an inactive account because the bank or financial institution is too far away.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin10.1a.s","Reason for not using their inactive account: bank or financial institution is too far away (% with an inactive account, age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Among respondents who report having an inactive account, the percentage who report that they don't use their account because the bank or financial institution is too far away.","Triennial","2021 variable","Among respondents who report having an inactive account, the percentage who report that they don't use their account because the bank or financial institution is too far away.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin10.1b","Reason for not using their inactive account: no need for an account (% age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","The percentage of respondents who report having an inactive account because they have no need for an account.","Triennial","2021 variable","The percentage of respondents who report having an inactive account because they have no need for an account.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin10.1b.s","Reason for not using their inactive account: no need for an account (% with an inactive account, age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Among respondents who report having an inactive account, the percentage who don't use the account because they have no need for one.","Triennial","2021 variable","Among respondents who report having an inactive account, the percentage who don't use the account because they have no need for one.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin10.1c","Reason for not using their inactive account: don't have enough money to use an account (% age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","The percentage of respondents who report having an inactive account because they don't have enough money to use the account.","Triennial","2021 variable","The percentage of respondents who report having an inactive account because they don't have enough money to use the account.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin10.1c.s","Reason for not using their inactive account: don't have enough money to use an account (% with an inactive account, age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Among respondents who report having an inactive account, the percentage who report that they don't have enough money to use the account.","Triennial","2021 variable","Among respondents who report having an inactive account, the percentage who report that they don't have enough money to use the account.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin10.1d","Reason for not using their inactive account: don't feel comfortable using the account by themselves (% age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","The percentage of respondents who report having an inactive account because they don't feel comfortable using the account by themselves.","Triennial","2021 variable","The percentage of respondents who report having an inactive account because they don't feel comfortable using the account by themselves.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin10.1d.s","Reason for not using their inactive account: don't feel comfortable using an account by themselves (% with an inactive account, age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Among respondents who report having an inactive account, the percentage who report that they don't feel comfortable using the account by themselves.","Triennial","2021 variable","Among respondents who report having an inactive account, the percentage who report that they don't feel comfortable using the account by themselves.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin10.1e","Reason for not using their inactive account: don't trust banks or financial institutions (% age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","The percentage of respondents who report having an inactive account because they don't trust banks or financial institutions.","Triennial","2021 variable","The percentage of respondents who report having an inactive account because they don't trust banks or financial institutions.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin10.1e.s","Reason for not using their inactive account: don't trust banks or financial institutions (% with an inactive account, age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Among respondents who report having an inactive account, the percentage who don't use the account because they don't trust banks or financial institutions.","Triennial","2021 variable","Among respondents who report having an inactive account, the percentage who don't use the account because they don't trust banks or financial institutions.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin10a","Withdrew money from a financial institution account 2 or more times a month (% age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","The percentage of respondents who report withdrawing money from their account two or more times per month.","Triennial","2021 variable","The percentage of respondents who report withdrawing money from their account two or more times per month.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin10a.s","Withdrew money from a financial institution account 2 or more times a month (% who had withdrawn money, age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Among respondents who withdrew money, the percentage who report doing so two or more times per month.","Triennial","2021 variable","Among respondents who withdrew money, the percentage who report doing so two or more times per month.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin11.1","Can use account at a bank or financial institution without help if opened (% without an account, age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Among the share of respondents without an account, the percentage of respondents who report they can use an account at a bank or a financial institution without help, if opened.","Triennial","2021 variable","Among the share of respondents without an account, the percentage of respondents who report they can use an account at a bank or a financial institution without help, if opened.","Global Findex database","Technology","Percent","","","","","","","","","",""
"fin11a","No account because financial institutions are too far away (% age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","The percentage of respondents who report that they don't have a financial institution account because financial institutions are too far away.","Triennial","2021 variable","The percentage of respondents who report that they don't have a financial institution account because financial institutions are too far away.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin11a.s","No account because financial institutions are too far away (% without an account, age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Among respondents who report having no account, the percentage who report that they don't have a financial institution account because financial institutions are too far away.","Triennial","2021 variable","Among respondents who report having no account, the percentage who report that they don't have a financial institution account because financial institutions are too far away.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin11b","No account because financial services are too expensive (% age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","The percentage of respondents who report not having a financial institution account because financial services are too expensive.","Triennial","2021 variable","The percentage of respondents who report not having a financial institution account because financial services are too expensive.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin11b.s","No account because financial services are too expensive (% without an account, age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Among respondents who report having no account, the percentage who report not having a financial institution account because financial services are too expensive.","Triennial","2021 variable","Among respondents who report having no account, the percentage who report not having a financial institution account because financial services are too expensive.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin11c","No account because of a lack of necessary documentation (% age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","The percentage of respondents who report not having a financial institution account because they lack the documentation needed to open one, such as an identity card, a wage slip, or the like.","Triennial","2021 variable","The percentage of respondents who report not having a financial institution account because they lack the documentation needed to open one, such as an identity card, a wage slip, or the like.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin11c.s","No account because of a lack of necessary documentation (% without an account, age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Among respondents who report having no account, the percentage who report not having a financial institution account because they lack the documentation needed to open one, such as an identity card, a wage slip, or the like.","Triennial","2021 variable","Among respondents who report having no account, the percentage who report not having a financial institution account because they lack the documentation needed to open one, such as an identity card, a wage slip, or the like.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin11d","No account because of a lack of trust in financial institutions (% age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","The percentage of respondents who report not having a financial institution account because they do not trust financial institutions.","Triennial","2021 variable","The percentage of respondents who report not having a financial institution account because they do not trust financial institutions.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin11d.s","No account because of a lack of trust in financial institutions (% without an account, age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Among respondents who report having no account, the percentage who report not having a financial institution account because they do not trust financial institutions.","Triennial","2021 variable","Among respondents who report having no account, the percentage who report not having a financial institution account because they do not trust financial institutions.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin11e","No account because of religious reasons (% age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","The percentage of respondents who report not having a financial institution account for religious reasons.","Triennial","2021 variable","The percentage of respondents who report not having a financial institution account for religious reasons.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin11e.s","No account because of religious reasons (% without an account, age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Among respondents who report having no account, the percentage who report not having a financial institution account for religious reasons.","Triennial","2021 variable","Among respondents who report having no account, the percentage who report not having a financial institution account for religious reasons.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin11f","No account because of insufficient funds (% age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","The percentage of respondents who report not having a financial institution account because they do not have enough money to use one.","Triennial","2021 variable","The percentage of respondents who report not having a financial institution account because they do not have enough money to use one.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin11f.s","No account because of insufficient funds (% without an account, age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Among respondents who report having no account, the percentage who report not having a financial institution account because they do not have enough money to use one.","Triennial","2021 variable","Among respondents who report having no account, the percentage who report not having a financial institution account because they do not have enough money to use one.","Global Findex database","Assets","Percent","","","","","","","","","",""
"fin11g","No account because someone in the family has one (% age 15+)","Weighted average","Global Findex","2021 variables","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","The percentage of respondents who report not having a financial institution account because someone else in their family already has one.","Triennial","2021 variable","The percentage of respondents who report not having a financial institution account because someone else in their family already has one.","Global Findex database","Assets","Percent","","","","","","","","","",""
